Time,Mach,Alpha_D,Altitude,Latitude,Longitude
258.05,1.530954061,1.391002766,49452.63391,33.17996468,-98.21324328
259.05,1.530973769,1.390952472,49451.9655,33.18085004,-98.21796337
260.05,1.530992865,1.390864723,49451.3491,33.1817355,-98.22268354
261.05,1.531011337,1.38990159,49450.78317,33.18262101,-98.2274038
262.05,1.530822961,3.1456257,49454.18465,33.18350632,-98.23212336
263.05,1.530024395,3.953453816,49471.54799,33.18439106,-98.23684079
264.05,1.529428197,2.477770647,49508.57276,33.18527529,-98.24155603
265.05,1.52923473,1.044369447,49553.08876,33.18610025,-98.24595508
266.05,1.529212607,0.502811704,49602.69594,33.18704283,-98.25098214
267.05,1.529254235,0.8947056622,49642.43456,33.18792643,-98.25569563
268.05,1.529255718,1.429655265,49677.42811,33.18880994,-98.26040958
269.05,1.529212489,1.665422442,49711.75294,33.18969327,-98.26512361
270.05,1.52917565,1.596630639,49747.6702,33.19057635,-98.26983756
271.05,1.529180732,1.423419127,49785.033,33.19145917,-98.27455148
272.05,1.52922974,1.335717121,49822.59198,33.19234173,-98.27926558
273.05,1.529298583,1.357326064,49859.4187,33.19322405,-98.28398
274.05,1.529372406,1.420596633,49895.49818,33.19410616,-98.2886948
275.05,1.529444072,1.466098997,49931.2717,33.19498805,-98.29340995
276.05,1.529522658,1.464186861,49967.04553,33.19586973,-98.29812545
277.05,1.529605803,1.462163046,50002.84159,33.19675121,-98.30284129
278.05,1.529693241,1.459466843,50038.59636,33.1976325,-98.30755751
279.05,1.529783649,1.462749561,50074.24872,33.19851362,-98.3122741
280.05,1.529873116,1.500779412,50109.83629,33.19939456,-98.31699107
281.05,1.529965387,1.46488857,50145.24859,33.20027534,-98.32170844
282.05,1.530086113,1.271149832,50179.96426,33.20115601,-98.32642631
283.05,1.530273293,1.019153235,50212.37872,33.20203664,-98.33114493
284.017,1.530509831,0.9449901251,50240.61747,33.20291732,-98.33586453
285.05,1.53076825,1.018335011,50263.86311,33.20379808,-98.34058521
